"","Year","Location","Genotype","Amylose","Crude.Fiber"
"281","2022","Otobi","NR17C2aF19P002",15.976,2.66
"282","2022","Otobi","NR17C2aF1P003",17.123,2
"283","2022","Otobi","NR17C2aF1P006",17.818,2
"284","2022","Otobi","NR17C2aF1P009",16.097,1.67
"285","2022","Otobi","NR17C2aF21P004",15.16,2.67
"286","2022","Otobi","NR17C2aF27P001",18.211,2
"287","2022","Otobi","NR17C2aF28P002",18.815,3.33
"288","2022","Otobi","NR17C2aF29P001",17.939,4
"289","2022","Otobi","NR17C2aF33P002",14.285,1.99
"290","2022","Otobi","NR17C2aF33P003",17.788,2.67
"291","2022","Otobi","NR17C2aF35P004",15.704,2
"292","2022","Otobi","NR17C2aF37P001",17.093,2
"293","2022","Otobi","NR17C2aF39P002",19.6,1.99
"294","2022","Otobi","NR17C2aF40P004",18.815,2
"295","2022","Otobi","NR17C2aF46P012",11.899,2.33
"296","2022","Otobi","NR17C2aF49P006",19.117,2.67
"297","2022","Otobi","NR17C2aF54P001",17.033,2.33
"298","2022","Otobi","NR17C2aF54P002",18.664,2.67
"299","2022","Otobi","NR17C2aF54P010",17.003,1.33
"300","2022","Otobi","NR17C2aF54P015",14.315,2
"301","2022","Otobi","NR17C2aF5P017",13.59,2.67
"302","2022","Otobi","NR17C2aF5P026",16.399,2.33
"303","2022","Otobi","NR17C2aF60P003",19.781,2
"304","2022","Otobi","NR17C2aF60P006",30.653,1.33
"305","2022","Otobi","NR17C2aF60P007",20.838,1.99
"306","2022","Otobi","NR17C2aF60P009",21.291,1.99
"307","2022","Otobi","NR17C2aF60P010",12.442,2.33
"308","2022","Otobi","NR17C2aF60P012",16.459,2.67
"309","2022","Otobi","NR17C2aF60P015",18.392,1.67
"310","2022","Otobi","NR17C2aF60P019",15.613,3.32
"311","2022","Otobi","NR17C2aF60P020",23.224,1.67
"312","2022","Otobi","NR17C2aF61P002",16.882,3
"313","2022","Otobi","NR17C2aF61P003",17.697,1.33
"314","2022","Otobi","NR17C2aF61P004",20.657,1.99
"315","2022","Otobi","NR17C2aF61P006",16.127,2.99
"316","2022","Otobi","NR17C2aF61P007",18.331,2
"317","2022","Otobi","NR17C2aF61P008",15.009,2
"318","2022","Otobi","NR17C2aF61P009",15.915,2.33
"319","2022","Otobi","NR17C2aF61P010",12.05,1.67
"320","2022","Otobi","NR17C2aF61P011",18.18,2
"321","2022","Otobi","NR17C2aF61P013",17.637,1.67
"322","2022","Otobi","NR17C2aF61P015",16.066,1.67
"323","2022","Otobi","NR17C2aF61P016",19.026,0.07
"324","2022","Otobi","NR17C2aF62P015",21.835,1.33
"325","2022","Otobi","NR17C2aF62P020",17.878,1.33
"326","2022","Otobi","NR17C2aF62P027",17.365,1.67
"327","2022","Otobi","NR17C2aF65P009",16.58,2
"328","2022","Otobi","NR17C2aF65P020",17.033,2
"329","2022","Otobi","NR17C2aF65P024",15.523,3.33
"330","2022","Otobi","NR17C2aF65P027",17.154,3.65
"331","2022","Otobi","NR17C2aF65P031",16.127,3
"332","2022","Otobi","NR17C2aF66P002",15.372,2.33
"333","2022","Otobi","NR17C2aF66P003",15.553,2.33
"334","2022","Otobi","NR17C2aF66P014",24.311,2.66
"335","2022","Otobi","NR17C2aF69P009",18.331,3
"336","2022","Otobi","NR17C2aF6P006",16.127,2.67
"337","2022","Otobi","NR17C2aF6P007",18.029,1.99
"338","2022","Otobi","NR17C2aF6P030",18.543,2.33
"339","2022","Otobi","NR17C2aF6P044",18.543,1.66
"340","2022","Otobi","NR17C2aF6P045",14.436,2.67
"341","2022","Otobi","NR17C2aF6P046",19.6,2.67
"342","2022","Otobi","NR17C2aF70P001",15.13,1.99
"343","2022","Otobi","NR17C2aF70P007",22.439,2
"344","2022","Otobi","NR17C2aF70P008",17.546,2
"345","2022","Otobi","NR17C2aF71P001",18.603,2.33
"346","2022","Otobi","NR17C2aF79P001",15.583,1.33
"347","2022","Otobi","NR17C2aF79P005",19.66,1.66
"348","2022","Otobi","NR17C2aF79P007",13.197,1.67
"349","2022","Otobi","NR17C2aF79P008",20.657,2
