"","Year","Location","Genotype","Amylose","Crude.Fiber"
"170","2021","Otobi","NR17C2aF89P003",17.85,1.67
"171","2021","Otobi","NR17C2aF89P009",15.55,1.3
"172","2021","Otobi","NR17C2aF89P010",16.64,1.63
"173","2021","Otobi","NR17C2aF89P013",18.39,1.23
"174","2021","Otobi","NR17C2aF89P014",16.13,1.5
"175","2021","Otobi","NR17C2aF89P018",19.45,2.33
"176","2021","Otobi","NR17C2aF89P020",18.36,1.27
"177","2021","Otobi","NR17C2aF89P021",13.74,1.93
"178","2021","Otobi","NR17C2aF89P028",17.43,3.33
"179","2021","Otobi","NR17C2aF89P041",20.9,2.66
"180","2021","Otobi","NR17C2aF89P045",18.33,2.33
"181","2021","Otobi","NR17C2aF89P050",16.31,3.32
"182","2021","Otobi","NR17C2aF89P054",18.78,2.66
"183","2021","Otobi","NR17C2aF89P056",17.49,1.97
"184","2021","Otobi","NR17C2aF89P058",19.48,1.67
"185","2021","Otobi","NR17C2aF89P067",17.15,2.33
"186","2021","Otobi","NR17C2aF89P069",15.37,1.53
"187","2021","Otobi","NR17C2aF89P071",15.92,2.33
"188","2021","Otobi","NR17C2aF89P084",23.13,1.66
"189","2021","Otobi","NR17C2aF89P088",21.11,2.99
"190","2021","Otobi","NR17C2aF89P091",24.49,2.33
"191","2021","Otobi","NR17C2aF89P096",15.4,2.33
"192","2021","Otobi","NR17C2aF89P102",18.78,2.67
"193","2021","Otobi","NR17C2aF90P001",18.42,1.87
"194","2021","Otobi","NR17C2aF90P007",17.64,1.33
"195","2021","Otobi","NR17C2aF91P001",18.72,2.33
"196","2021","Otobi","NR17C2aF91P004",17.46,1.83
"197","2021","Otobi","NR17C2aF91P006",18.15,2.66
"198","2021","Otobi","NR17C2aF91P008",8.97,1.7
"199","2021","Otobi","NR17C2aF91P011",12.99,2.99
"200","2021","Otobi","NR17C2aF92P001",22.02,3.33
"201","2021","Otobi","NR17C2aF92P002",18.33,1.66
"202","2021","Otobi","NR17C2aF92P003",16.88,2.33
"203","2021","Otobi","NR17C2aF92P005",13.8,3
"204","2021","Otobi","NR17C2aF93P009",18.21,2.99
"205","2021","Otobi","NR17C2aF93P010",14.1,1.37
"206","2021","Otobi","NR17C2aF94P013",17.97,3.67
"207","2021","Otobi","NR17C2aF95P003",15.58,0.93
"208","2021","Otobi","NR17C2aF95P011",15.16,3
"209","2021","Otobi","NR17C2aF95P015",18.39,1.73
"210","2021","Otobi","NR17C2aF95P021",18.12,2.33
"211","2021","Otobi","NR17C2aF96P004",16.88,3.67
"212","2021","Otobi","NR17C2aF97P002",11.93,2.57
"213","2021","Otobi","NR17C2aF98P001",17.46,1.67
"214","2021","Otobi","NR17C2aF99P002",16.94,2.33
"215","2021","Otobi","NR17C2aF9P010",19.18,2.99
"216","2021","Otobi","NR17C2aF9P013",19.6,1.03
"217","2021","Otobi","NR8082",19.24,2
"218","2021","Otobi","TMEB419",23.86,1.27
"219","2021","Otobi","TMEB7",16.07,1.66
"220","2022","Otobi","IITA-TMS-IBA00070",NA,1.99
"221","2022","Otobi","IITA-TMS-IBA30572",15.372,1.99
"222","2022","Otobi","NR17C2aF103P001",17.123,2.67
"223","2022","Otobi","NR17C2aF10P001",13.137,2.33
"224","2022","Otobi","NR17C2aF10P002",15.523,3.33
"225","2022","Otobi","NR17C2aF10P006",16.399,2
"226","2022","Otobi","NR17C2aF10P016",NA,3.32
"227","2022","Otobi","NR17C2aF10P017",19.449,2
"228","2022","Otobi","NR17C2aF10P021",NA,1.66
"229","2022","Otobi","NR17C2aF10P025",14.345,2.33
"230","2022","Otobi","NR17C2aF114P004",17.274,1.67
"231","2022","Otobi","NR17C2aF120P002",17.154,3
"232","2022","Otobi","NR17C2aF121P001",12.412,2.33
"233","2022","Otobi","NR17C2aF121P005",14.436,4.33
"234","2022","Otobi","NR17C2aF12P001",20.838,3
"235","2022","Otobi","NR17C2aF13P001",20.415,2.66
"236","2022","Otobi","NR17C2aF14P014",18.845,2.33
"237","2022","Otobi","NR17C2aF14P016",15.764,2.66
"238","2022","Otobi","NR17C2aF15P003",12.624,3
"239","2022","Otobi","NR17C2aF15P011",9.604,2.33
"240","2022","Otobi","NR17C2aF15P016",18.966,3.33
"241","2022","Otobi","NR17C2aF15P022",16.489,3.32
"242","2022","Otobi","NR17C2aF15P032",18.513,1.67
"243","2022","Otobi","NR17C2aF16P003",20.083,3
"244","2022","Otobi","NR17C2aF16P004",23.224,2.33
"245","2022","Otobi","NR17C2aF16P010",15.734,2.33
"246","2022","Otobi","NR17C2aF16P013",18.029,2.33
"247","2022","Otobi","NR17C2aF18P008",16.459,3.65
"248","2022","Otobi","NR17C2aF18P015",12.201,2.33
"249","2022","Otobi","NR17C2aF18P018",15.674,2.67
"250","2022","Otobi","NR17C2aF19P002",15.976,2.66
"251","2022","Otobi","NR17C2aF1P003",17.123,2
"252","2022","Otobi","NR17C2aF1P006",17.818,2
"253","2022","Otobi","NR17C2aF1P009",16.097,1.67
"254","2022","Otobi","NR17C2aF21P004",15.16,2.67
"255","2022","Otobi","NR17C2aF27P001",18.211,2
