"","environment","location","year","Genotype","swelling.index","swelling.power","WAC","Bulk.Density"
"110","Otobi_2021","Otobi","2021","NR17C2aF33P002",2.071,8.17,379.5,0.866
"111","Otobi_2021","Otobi","2021","NR17C2aF33P003",2.221,8.28,395,0.88
"112","Otobi_2021","Otobi","2021","NR17C2aF35P004",2.157,8.695,414.5,0.936
"113","Otobi_2021","Otobi","2021","NR17C2aF37P001",2,8.44,444.5,0.833
"114","Otobi_2021","Otobi","2021","NR17C2aF39P002",1.756,8.05,341,0.909
"115","Otobi_2021","Otobi","2021","NR17C2aF3P010",1.719,8.23,381.5,0.857
"116","Otobi_2021","Otobi","2021","NR17C2aF40P004",2.191,8.625,403.5,0.909
"117","Otobi_2021","Otobi","2021","NR17C2aF46P012",2,9.49,404.5,0.938
"118","Otobi_2021","Otobi","2021","NR17C2aF49P006",2.305,8.425,433,0.88
"119","Otobi_2021","Otobi","2021","NR17C2aF54P001",1.942,9.05,407,0.909
"120","Otobi_2021","Otobi","2021","NR17C2aF54P002",1.833,9.11,397.5,0.925
"121","Otobi_2021","Otobi","2021","NR17C2aF54P010",2.097,7.2,494.5,0.92
"122","Otobi_2021","Otobi","2021","NR17C2aF54P012",2.1,9.04,422.5,0.882
"123","Otobi_2021","Otobi","2021","NR17C2aF54P015",1.978,6.59,388,0.873
"124","Otobi_2021","Otobi","2021","NR17C2aF5P017",2.228,7.15,451.5,0.754
"125","Otobi_2021","Otobi","2021","NR17C2aF5P022",1.8,8.315,386.5,0.788
"126","Otobi_2021","Otobi","2021","NR17C2aF5P026",1.57,7.92,417,0.881
"127","Otobi_2021","Otobi","2021","NR17C2aF60P003",1.657,9.405,327.5,0.952
"128","Otobi_2021","Otobi","2021","NR17C2aF60P009",2.017,7.385,471,0.908
"129","Otobi_2021","Otobi","2021","NR17C2aF60P010",2.03,7.29,405,0.851
"130","Otobi_2021","Otobi","2021","NR17C2aF60P012",1.968,7.605,354.5,0.968
"131","Otobi_2021","Otobi","2021","NR17C2aF60P015",2.356,8.33,409.5,0.908
"132","Otobi_2021","Otobi","2021","NR17C2aF60P020",2.31,8.05,386,0.909
"133","Otobi_2021","Otobi","2021","NR17C2aF61P002",1.821,9.24,382,0.908
"134","Otobi_2021","Otobi","2021","NR17C2aF61P003",1.766,9.095,391,0.877
"135","Otobi_2021","Otobi","2021","NR17C2aF61P004",1.932,7.71,373.5,0.923
"136","Otobi_2021","Otobi","2021","NR17C2aF61P006",2.043,8.86,438,0.857
"137","Otobi_2021","Otobi","2021","NR17C2aF61P007",2.391,8.08,421,0.907
"138","Otobi_2021","Otobi","2021","NR17C2aF61P008",2.258,8.26,460.5,0.904
"139","Otobi_2021","Otobi","2021","NR17C2aF61P009",2.314,7.81,434,0.882
"140","Otobi_2021","Otobi","2021","NR17C2aF61P010",2.204,7.615,477.5,0.936
"141","Otobi_2021","Otobi","2021","NR17C2aF61P011",2.324,8.525,386.5,0.916
"142","Otobi_2021","Otobi","2021","NR17C2aF61P013",2.049,8.035,470.5,0.881
"143","Otobi_2021","Otobi","2021","NR17C2aF61P015",2,8.93,510.5,0.834
"144","Otobi_2021","Otobi","2021","NR17C2aF61P016",2.118,8.165,424,0.857
"145","Otobi_2021","Otobi","2021","NR17C2aF62P015",1.772,9.245,355.5,0.937
"146","Otobi_2021","Otobi","2021","NR17C2aF62P020",2.065,7.74,440,0.938
"147","Otobi_2021","Otobi","2021","NR17C2aF62P024",2.226,8.315,400.5,0.862
"148","Otobi_2021","Otobi","2021","NR17C2aF62P027",1.944,8.76,328.5,0.937
"149","Otobi_2021","Otobi","2021","NR17C2aF65P009",2.189,7.31,432,0.794
"150","Otobi_2021","Otobi","2021","NR17C2aF65P017",2.017,8.13,356.5,0.856
"151","Otobi_2021","Otobi","2021","NR17C2aF65P020",2.049,9.535,524,0.881
"152","Otobi_2021","Otobi","2021","NR17C2aF65P027",2.208,8.6075,411.75,0.909
"153","Otobi_2021","Otobi","2021","NR17C2aF65P031",1.858,6.97,436,0.834
"154","Otobi_2021","Otobi","2021","NR17C2aF66P002",2.167,8.145,416,0.771
"155","Otobi_2021","Otobi","2021","NR17C2aF66P003",2.099,8.065,489,0.937
"156","Otobi_2021","Otobi","2021","NR17C2aF69P009",1.813,7.72,463,0.882
"157","Otobi_2021","Otobi","2021","NR17C2aF6P006",1.817,8.36,407,0.887
"158","Otobi_2021","Otobi","2021","NR17C2aF6P007",2.006,7.425,375,0.772
"159","Otobi_2021","Otobi","2021","NR17C2aF6P030",2.017,7.995,420.5,0.908
"160","Otobi_2021","Otobi","2021","NR17C2aF6P044",1.842,10.325,540.5,0.867
"161","Otobi_2021","Otobi","2021","NR17C2aF6P045",2.039,8.295,450.5,0.833
"162","Otobi_2021","Otobi","2021","NR17C2aF6P046",1.86,7.935,439.5,0.789
"163","Otobi_2021","Otobi","2021","NR17C2aF70P001",2.034,9.055,360.5,0.856
"164","Otobi_2021","Otobi","2021","NR17C2aF70P008",2.153,7.86,384.5,0.788
"165","Otobi_2021","Otobi","2021","NR17C2aF71P001",2.052,7.12,405,0.821
"166","Otobi_2021","Otobi","2021","NR17C2aF79P001",1.667,8.16,414.5,0.961
"167","Otobi_2021","Otobi","2021","NR17C2aF79P007",2.287,6.91,378.5,0.889
"168","Otobi_2021","Otobi","2021","NR17C2aF79P008",2.2,7.3,452.5,0.833
"169","Otobi_2021","Otobi","2021","NR17C2aF79P016",1.705,8.505,398.5,1.015
"170","Otobi_2021","Otobi","2021","NR17C2aF7P007",1.909,10.16,440,0.857
"171","Otobi_2021","Otobi","2021","NR17C2aF7P008",1.627,8.925,367.5,0.908
"172","Otobi_2021","Otobi","2021","NR17C2aF7P011",2.202,8.66,391,0.905
"173","Otobi_2021","Otobi","2021","NR17C2aF7P013",2.213,8.14,428,0.872
"174","Otobi_2021","Otobi","2021","NR17C2aF7P017",1.75,7.99,436.5,0.881
"175","Otobi_2021","Otobi","2021","NR17C2aF7P018",2.038,8.785,383,0.962
"176","Otobi_2021","Otobi","2021","NR17C2aF7P023",2.305,7.6,416.5,0.91
"177","Otobi_2021","Otobi","2021","NR17C2aF7P030",2.338,8.31,435,0.877
"178","Otobi_2021","Otobi","2021","NR17C2aF7P034",1.812,8.875,457.5,0.926
"179","Otobi_2021","Otobi","2021","NR17C2aF7P036",2.018,9.095,321,0.909
"180","Otobi_2021","Otobi","2021","NR17C2aF7P043",2,9.17,374.5,0.907
"181","Otobi_2021","Otobi","2021","NR17C2aF7P044",2.079,8.045,388.5,0.706
"182","Otobi_2021","Otobi","2021","NR17C2aF7P045",1.926,8.645,438.5,0.884
"183","Otobi_2021","Otobi","2021","NR17C2aF7P052",1.981,8.345,469.5,0.93
"184","Otobi_2021","Otobi","2021","NR17C2aF7P062",2.241,9.365,361.5,0.908
"185","Otobi_2021","Otobi","2021","NR17C2aF7P065",2.593,8.875,336,0.881
"186","Otobi_2021","Otobi","2021","NR17C2aF7P067",2.158,6.52,455,0.908
"187","Otobi_2021","Otobi","2021","NR17C2aF7P070",2.001,8.61,341.5,0.998
"188","Otobi_2021","Otobi","2021","NR17C2aF7P071",2.224,7.795,377.5,0.852
"189","Otobi_2021","Otobi","2021","NR17C2aF82P002",1.998,8.145,371.5,0.886
"190","Otobi_2021","Otobi","2021","NR17C2aF82P005",2.266,7.7475,431,0.854
"191","Otobi_2021","Otobi","2021","NR17C2aF82P008",2.529,7.27,480,0.811
"192","Otobi_2021","Otobi","2021","NR17C2aF83P010",2.22,8.065,360.5,0.934
"193","Otobi_2021","Otobi","2021","NR17C2aF83P018",2.102,8.59,367.5,1
"194","Otobi_2021","Otobi","2021","NR17C2aF84P004",2.293,8.14,396.5,0.788
"195","Otobi_2021","Otobi","2021","NR17C2aF87P010",1.833,7.835,381.5,0.857
"196","Otobi_2021","Otobi","2021","NR17C2aF87P011",2.528,7.985,415.5,0.909
"197","Otobi_2021","Otobi","2021","NR17C2aF89P002",2.233,7.225,427,0.884
"198","Otobi_2021","Otobi","2021","NR17C2aF89P003",2.014,8.035,405,0.844
"199","Otobi_2021","Otobi","2021","NR17C2aF89P009",1.762,9.155,414,0.881
"200","Otobi_2021","Otobi","2021","NR17C2aF89P010",2.098,8.765,452.5,0.908
"201","Otobi_2021","Otobi","2021","NR17C2aF89P013",1.524,7.73,324,0.909
"202","Otobi_2021","Otobi","2021","NR17C2aF89P014",1.948,7.455,417.5,0.958
"203","Otobi_2021","Otobi","2021","NR17C2aF89P018",2.193,8.47,447,0.896
"204","Otobi_2021","Otobi","2021","NR17C2aF89P020",1.82,8.75,377.5,0.964
"205","Otobi_2021","Otobi","2021","NR17C2aF89P021",2.167,7.465,346.5,0.9
"206","Otobi_2021","Otobi","2021","NR17C2aF89P028",2.447,9.245,394.5,0.905
"207","Otobi_2021","Otobi","2021","NR17C2aF89P041",2.057,8.035,411.5,0.772
"208","Otobi_2021","Otobi","2021","NR17C2aF89P045",2.5,6.78,425.5,0.969
"209","Otobi_2021","Otobi","2021","NR17C2aF89P050",1.797,7.09,416,0.937
"210","Otobi_2021","Otobi","2021","NR17C2aF89P054",1.78,8.575,373.5,0.909
"211","Otobi_2021","Otobi","2021","NR17C2aF89P056",2.42,6.855,388,0.824
"212","Otobi_2021","Otobi","2021","NR17C2aF89P058",2.26,8.335,311.5,0.908
"213","Otobi_2021","Otobi","2021","NR17C2aF89P067",1.967,9.71,493,0.884
"214","Otobi_2021","Otobi","2021","NR17C2aF89P069",2.439,8.075,348.5,0.983
"215","Otobi_2021","Otobi","2021","NR17C2aF89P071",2.12,8.225,429.5,0.778
"216","Otobi_2021","Otobi","2021","NR17C2aF89P084",2.001,7.975,411.5,0.883
"217","Otobi_2021","Otobi","2021","NR17C2aF89P088",1.989,8.41,363,0.908
