"","X1","X2"
"433","DRC_064","250228033"
"434","DRC_002","250227971"
"435","Cameroon_082","250227924"
"436","Cameroon_073","250227915"
"437","Cameroon_036","250227878"
"438","DRC_091","250228060"
"439","DRC_039","250228008"
"440","DRC_040","250228009"
"441","DRC_028","250227997"
"442","Cameroon_075","250227917"
"443","Cameroon_037","250227879"
"444","Cameroon_010","250227852"
"445","DRC_029","250227998"
"446","Cameroon_011","250227853"
"447","Cameroon_012","250227854"
"448","Cameroon_009","250227851"
"449","DRC_037","250228006"
"450","DRC_003","250227972"
"451","Cameroon_038","250227880"
"452","DRC_065","250228034"
"453","DRC_049","250228018"
"454","Cameroon_040","250227882"
"455","DRC_090","250228059"
"456","DRC_001","250227970"
"457","Cameroon_090","250227932"
"458","DRC_063","250228032"
"459","DRC_076","250228045"
"460","DRC_014","250227983"
"461","Cameroon_022","250227864"
"462","Cameroon_047","250227889"
"463","Cameroon_057","250227899"
"464","Cameroon_067","250227909"
"465","DRC_026","250227995"
"466","I070126","250300933"
"467","DRC_032","250228001"
"468","I051740","250301195"
"469","DRC_045","250228014"
"470","DRC_010","250227979"
"471","DRC_072","250228041"
"472","Cameroon_071","250227913"
"473","Cameroon_084","250227926"
"474","DRC_022","250227991"
"475","Cameroon_032","250227874"
"476","DRC_057","250228026"
"477","DRC_084","250228053"
"478","DRC_082","250228051"
"479","DRC_020","250227989"
"480","DRC_055","250228024"
"481","Cameroon_030","250227872"
"482","Cameroon_094","250227936"
"483","Cameroon_059","250227901"
"484","Cameroon_088","250227930"
"485","Cameroon_055","250227897"
"486","DRC_053","250228022"
"487","DRC_078","250228047"
"488","Cameroon_026","250227868"
"489","DRC_018","250227987"
"490","DRC_016","250227985"
"491","Cameroon_053","250227895"
"492","Cameroon_063","250227905"
"493","Cameroon_092","250227934"
"494","DRC_080","250228049"
"495","Cameroon_061","250227903"
"496","Cameroon_070","250227912"
"497","Cameroon_024","250227866"
"498","Cameroon_015","250227857"
"499","Cameroon_042","250227884"
"500","DRC_070","250228039"
"501","DRC_069","250228038"
"502","DRC_096","250228065"
"503","DRC_007","250227976"
"504","Cameroon_051","250227893"
"505","Cameroon_049","250227891"
"506","Cameroon_069","250227911"
"507","Cameroon_068","250227910"
"508","Cameroon_095","250227937"
"509","Cameroon_086","250227928"
