Genotype,swelling index,swelling power,WAC,Bulk Density
NR17C2aF96P004,2.119,7.65,443,0.869
NR17C2aF97P002,2.14,8.59,424.5,0.93
NR17C2aF99P002,1.957,9.57,339,0.938
NR17C2aF9P010,1.831,8.35,422.5,0.831
NR17C2aF9P013,1.739,8.515,425.5,0.886
IITA-TMS-IBA00070,2.06,8.74,403.5,0.884
IITA-TMS-IBA30572,2.001,8.11,400.5,0.908
NR8082,2.167,6.665,444,0.936
TMEB419,1.84,7.99,442.5,0.934
TMEB7,1.713,10.21,567,0.908
