"","x"
"698","NR17C2aF92P003"
"699","NR17C2aF92P005"
"700","NR17C2aF93P010"
"701","NR17C2aF94P013"
"702","NR17C2aF95P003"
"703","NR17C2aF95P009"
"704","NR17C2aF95P015"
"705","NR17C2aF95P021"
"706","NR17C2aF97P002"
"707","NR17C2aF98P001"
"708","NR17C2aF99P002"
"709","NR17C2aF9P010"
"710","NR17C2aF9P013"
"711","NR8082"
"712","TMEB419"
"713","TMEB7"
