"","x"
"423","NR17C2aF89P002"
"424","NR17C2aF103P001"
"425","NR17C2aF10P001"
"426","NR17C2aF10P002"
"427","NR17C2aF10P006"
"428","NR17C2aF10P011"
"429","NR17C2aF10P016"
"430","NR17C2aF10P021"
"431","NR17C2aF10P025"
"432","NR17C2aF114P002"
"433","NR17C2aF114P004"
"434","NR17C2aF118P001"
"435","NR17C2aF121P005"
"436","NR17C2aF12P001"
"437","NR17C2aF13P001"
"438","NR17C2aF14P016"
"439","NR17C2aF15P003"
"440","NR17C2aF15P011"
"441","NR17C2aF15P016"
"442","NR17C2aF15P022"
"443","NR17C2aF15P032"
"444","NR17C2aF15P041"
"445","NR17C2aF16P003"
"446","NR17C2aF16P010"
"447","NR17C2aF16P013"
"448","NR17C2aF18P008"
"449","NR17C2aF18P018"
"450","NR17C2aF19P002"
"451","NR17C2aF1P003"
"452","NR17C2aF1P006"
"453","NR17C2aF21P004"
"454","NR17C2aF27P001"
"455","NR17C2aF28P002"
"456","NR17C2aF29P001"
"457","NR17C2aF39P002"
"458","NR17C2aF49P006"
"459","NR17C2aF54P001"
"460","NR17C2aF54P002"
"461","NR17C2aF54P005"
"462","NR17C2aF54P010"
"463","NR17C2aF54P012"
"464","NR17C2aF5P017"
"465","NR17C2aF5P026"
"466","NR17C2aF60P003"
"467","NR17C2aF60P006"
"468","NR17C2aF60P007"
"469","NR17C2aF60P009"
"470","NR17C2aF60P010"
"471","NR17C2aF60P015"
"472","NR17C2aF60P019"
"473","NR17C2aF60P020"
"474","NR17C2aF61P003"
"475","NR17C2aF61P004"
"476","NR17C2aF61P008"
"477","NR17C2aF61P010"
"478","NR17C2aF61P011"
"479","NR17C2aF61P013"
"480","NR17C2aF61P015"
"481","NR17C2aF61P016"
"482","NR17C2aF62P020"
"483","NR17C2aF62P024"
"484","NR17C2aF62P027"
"485","NR17C2aF65P009"
"486","NR17C2aF65P010"
"487","NR17C2aF65P017"
"488","NR17C2aF65P031"
"489","NR17C2aF66P014"
"490","NR17C2aF69P009"
"491","NR17C2aF6P005"
"492","NR17C2aF6P007"
"493","NR17C2aF6P030"
"494","NR17C2aF6P037"
"495","NR17C2aF6P044"
"496","NR17C2aF6P045"
"497","NR17C2aF70P007"
"498","NR17C2aF70P008"
"499","NR17C2aF79P001"
"500","NR17C2aF79P005"
"501","NR17C2aF79P008"
"502","NR17C2aF79P016"
"503","NR17C2aF7P007"
"504","NR17C2aF7P008"
"505","NR17C2aF7P023"
"506","NR17C2aF7P030"
"507","NR17C2aF7P036"
"508","NR17C2aF7P044"
"509","NR17C2aF7P045"
"510","NR17C2aF7P050"
"511","NR17C2aF7P052"
"512","NR17C2aF7P058"
"513","NR17C2aF7P065"
"514","NR17C2aF7P070"
"515","NR17C2aF81P003"
"516","NR17C2aF82P008"
"517","NR17C2aF83P010"
"518","NR17C2aF83P018"
"519","NR17C2aF84P004"
"520","NR17C2aF87P010"
"521","NR17C2aF89P002"
"522","NR17C2aF89P003"
"523","NR17C2aF89P009"
"524","NR17C2aF89P010"
"525","NR17C2aF89P018"
"526","NR17C2aF89P020"
"527","NR17C2aF89P028"
"528","NR17C2aF89P034"
"529","NR17C2aF89P050"
"530","NR17C2aF89P054"
"531","NR17C2aF89P058"
"532","NR17C2aF89P067"
"533","NR17C2aF89P069"
"534","NR17C2aF89P071"
"535","NR17C2aF89P088"
"536","NR17C2aF89P096"
"537","NR17C2aF90P001"
"538","NR17C2aF90P007"
"539","NR17C2aF90P008"
"540","NR17C2aF91P004"
"541","NR17C2aF91P006"
"542","NR17C2aF92P001"
"543","NR17C2aF92P003"
"544","NR17C2aF92P005"
"545","NR17C2aF93P010"
"546","NR17C2aF94P013"
"547","NR17C2aF95P003"
"548","NR17C2aF95P009"
"549","NR17C2aF95P011"
"550","NR17C2aF97P002"
"551","NR17C2aF98P001"
"552","NR17C2aF99P002"
"553","NR17C2aF9P010"
"554","NR17C2aF9P013"
"555","TMEB419"
"556","TMEB7"
"557","IITA-TMS-IBA30572"
"558","NR17C2aF103P001"
"559","NR17C2aF10P001"
"560","NR17C2aF10P002"
"561","NR17C2aF10P006"
"562","NR17C2aF10P011"
"563","NR17C2aF10P016"
"564","NR17C2aF10P017"
"565","NR17C2aF10P021"
"566","NR17C2aF10P025"
"567","NR17C2aF114P002"
"568","NR17C2aF114P004"
"569","NR17C2aF120P002"
"570","NR17C2aF121P005"
"571","NR17C2aF12P001"
"572","NR17C2aF13P001"
"573","NR17C2aF14P016"
"574","NR17C2aF15P003"
"575","NR17C2aF15P011"
"576","NR17C2aF15P016"
"577","NR17C2aF15P022"
"578","NR17C2aF15P032"
"579","NR17C2aF15P041"
"580","NR17C2aF16P003"
"581","NR17C2aF16P010"
"582","NR17C2aF16P013"
"583","NR17C2aF18P008"
"584","NR17C2aF18P015"
"585","NR17C2aF18P018"
"586","NR17C2aF19P002"
"587","NR17C2aF1P003"
"588","NR17C2aF1P006"
"589","NR17C2aF1P009"
"590","NR17C2aF21P004"
"591","NR17C2aF28P002"
"592","NR17C2aF29P001"
"593","NR17C2aF33P002"
"594","NR17C2aF33P003"
"595","NR17C2aF35P004"
"596","NR17C2aF39P002"
"597","NR17C2aF40P004"
"598","NR17C2aF46P012"
"599","NR17C2aF49P006"
"600","NR17C2aF54P001"
"601","NR17C2aF54P002"
"602","NR17C2aF54P005"
"603","NR17C2aF54P010"
"604","NR17C2aF54P012"
"605","NR17C2aF5P017"
"606","NR17C2aF5P026"
"607","NR17C2aF60P003"
"608","NR17C2aF60P006"
"609","NR17C2aF60P007"
