"","swelling.index","swelling.power","WAC","Bulk.Density"
"400",1.98,7.63,523.5,0.86
"401",2.15,7.98,522.5,0.82
"402",2.05,7.61,452.5,0.87
"403",2.18,7.73,556.5,0.82
"404",2.18,6.97,420,0.86
"405",2.08,7.83,476,0.85
"406",2,7.69,502.5,0.82
"407",2.4,7.11,469,0.79
"408",2.32,8.1,576.5,0.82
"409",2.26,7.83,517.5,0.78
"410",2.18,7.71,530,0.82
"411",2.33,8.13,514.5,0.82
"412",2.38,8.28,553.5,0.84
"413",2.49,7.21,448.5,0.85
"414",1.98,7.78,514.5,0.8
"415",2.22,7.46,415.5,0.81
"416",2.49,8.2,554,0.82
"417",2.26,7.81,584.5,0.81
"418",2.46,7.82,397.5,0.84
"419",2.15,7.83,482,0.81
"420",2.08,7.46,485,0.82
"421",1.98,6.86,480,0.81
"422",2.32,7.74,474,0.77
"423",2.24,7.8,496.5,0.81
"424",1.804,7.08,418,0.741
"425",2.661,10.644,569,0.847
"426",1.526,8.978,307,0.699
"427",2.42,9.341,474,0.857
"428",2.394,7.857,503,0.81
"429",2.2,10.311,446,0.789
"430",NA,9.667,NA,NA
"431",2.143,8.144,459,0.852
"432",3.75,8.22,582,0.811
"433",1.17,9.68,222,0.667
"434",1.712,9.929,377,0.828
"435",2.011,9.149,438,0.834
"436",NA,8.641,NA,NA
"437",1.571,8.449,310,0.861
"438",2.183,8.258,509,0.906
"439",NA,8.362,NA,NA
"440",2.25,8.118,535,0.848
"441",1.75,7.955,309,0.642
"442",2.074,8.278,376,0.733
"443",1.763,NA,431,0.811
"444",1.638,7.705,457,0.759
"445",2.957,8.033,576,0.8
"446",2.287,8.042,535,0.811
"447",2.241,NA,481,0.862
"448",1.729,7.744,498,0.667
"449",1.746,8.714,397,0.858
"450",2.034,8.583,420,0.766
"451",3,8.074,555,0.808
"452",NA,10.19,NA,NA
"453",2.462,11.267,519,0.77
"454",2.464,10.769,545,0.857
"455",1.92,NA,408,0.949
"456",1.955,9.898,505,0.778
"457",2.123,9.457,487,0.81
"458",1.6,9.011,320,0.776
"459",2.304,10.442,480,0.987
"460",2.121,7.934,516,0.857
"461",1.884,9.765,386,0.811
"462",2.264,8.36,499,0.906
"463",2.546,8.946,542,0.834
"464",2.455,10.453,469,0.952
"465",2.18,10.826,377,0.903
"466",1.926,9.354,526,0.81
"467",2.374,NA,518,0.734
"468",NA,7.365,NA,NA
"469",1.409,10.205,280,0.839
"470",1.267,NA,241,0.725
"471",1.815,7.012,325,0.667
"472",2.613,8.367,460,0.741
"473",2.28,7.207,435,0.76
"474",1.983,7.723,424,0.808
"475",2.143,8.18,467,0.867
"476",1.886,10.36,426,0.901
"477",2.437,8.947,542,0.882
"478",2.042,7.581,392,0.857
"479",2.38,9.319,442,0.938
"480",2.817,9.011,539,0.791
"481",2.072,10.109,432,0.787
"482",3.043,9.931,531,0.858
"483",2.364,7.551,468,0.862
"484",2.295,9.484,401,0.936
"485",NA,10.146,NA,NA
"486",1.768,10.264,413,0.792
"487",1.561,10.371,277,0.879
"488",1.581,10.091,NA,NA
"489",2.197,10.102,582,0.855
"490",2.286,9.256,494,0.714
"491",1.833,7.418,372,0.756
"492",2.158,11.115,413,0.845
"493",2.55,8.67,497,0.764
"494",1.781,9.833,484,0.822
"495",2.164,8.674,469,0.841
"496",2.352,8.912,NA,NA
"497",2,8.637,522,0.857
"498",1.935,9.151,426,0.938
"499",1.986,8.156,567,0.792
"500",2.321,7.773,314,0.702
"501",2.88,9.467,563,0.836
"502",2,8.242,402,0.816
"503",2.233,8.264,470,0.789
"504",1.915,10.344,292,0.837
"505",NA,8.078,NA,NA
"506",1.882,9.36,460,0.761
"507",2.3,8.73,421,0.822
"508",1.714,8.216,410,1.121
"509",1.203,NA,232,0.681
"510",2.209,9.159,620,0.758
"511",2.08,10.66,371,0.835
"512",2.645,8.888,615,0.777
"513",NA,9.128,NA,NA
"514",NA,10.862,NA,NA
"515",2.826,9.963,498,0.718
"516",2.048,8.495,508,0.714
"517",2.66,8.647,524,0.791
"518",1.66,9.378,348,0.725
"519",1.817,8.247,456,0.772
"520",1.886,7.88,471,0.717
"521",1.882,11,459,0.812
"522",2.107,9.495,315,0.912
"523",1.879,10.449,447,0.85
"524",1.49,9.053,282,0.919
"525",2.729,10.716,531,0.824
"526",1.86,10.326,384,0.769
"527",1.924,8.385,542,0.833
"528",1.793,8.12,395,0.926
"529",1.562,8.4,439,0.913
"530",NA,8.477,NA,NA
"531",2.183,NA,474,0.803
"532",2.139,8.817,450,0.743
"533",2,8.8,547,0.753
"534",2.56,9.078,467,0.882
"535",2.22,9,403,0.842
"536",1.483,10.761,370,0.719
"537",2.115,8.436,464,0.709
"538",NA,9.587,NA,NA
"539",2.05,8.12,477,0.761
"540",2.82,10.091,529,0.774
"541",1.449,7.667,488,0.78
"542",1.886,8.063,451,0.714
"543",1.747,8.464,482,0.823
"544",2.52,9.167,529,0.731
"545",2.625,7.287,575,0.759
"546",1.843,8.256,528,0.698
"547",2.273,8.736,481,0.833
"548",2.232,8.659,580,0.667
"549",1.543,8.714,402,0.75
"550",2.351,8.021,483,0.742
"551",2.132,8.158,550,0.752
"552",1.932,8.423,411,0.852
"553",1.985,9.576,521,0.833
"554",1.434,8.233,414,0.713
"555",2.304,10.352,505,0.923
"556",1.719,10.278,435,0.759
"557",3,7.234,598,0.79
"558",2.96,7.729,536,0.76
"559",2.917,8.621,588,0.845
"560",3.2,8.109,617,0.76
"561",3.083,7.299,539,0.75
"562",2.6,9.979,602,0.714
"563",3.04,7.784,655,0.741
"564",3.182,9.167,526,0.833
"565",2.807,8.033,630,0.726
"566",4,7.192,574,0.75
"567",2.917,8.483,502,0.732
"568",3.571,7.724,650,0.834
"569",3.571,6.636,563,0.682
"570",3,9.286,658,0.667
"571",2.692,8.573,577,0.723
"572",2.167,8.923,491,0.834
"573",3.043,6,512,0.845
"574",3.16,6.677,634,0.75
"575",2.96,9.565,582,0.683
"576",2.44,6.674,502,0.845
"577",2.76,8.566,576,0.753
"578",2.64,7.032,507,0.779
"579",2.6,7.925,538,0.682
"580",2.6,6.713,549,0.938
"581",3,8.835,529,0.79
"582",2.538,7,572,0.741
"583",2.8,6.732,500,0.811
"584",3,6.918,547,0.789
"585",2.556,9.633,561,0.811
"586",3.429,7.198,486,0.8
"587",3.286,7.885,496,0.834
"588",3.087,7.537,612,0.759
"589",2.84,7.543,577,0.79
"590",2.308,7.163,486,0.857
"591",3.125,9.865,526,0.8
"592",2.625,10.309,429,0.811
"593",3.091,6.835,556,0.883
"594",3.2,6.51,518,0.75
"595",2.979,8.724,609.5,0.788
